feature,case_id,model_output,human_name_judgment,human_summary_usefulness,human_factuality,human_relevance,human_groundedness,human_adequacy,human_fluency,human_mos,human_intelligibility,notes
ai_search,search-food-01,Banh Chung and Banh Tet,,,,,,,,,,
ai_search,search-food-02,Bánh Bao,,,,,,,,,,
ai_search,search-food-03,Bánh Bèo,,,,,,,,,,
ai_search,search-food-04,Banh Da Lon,,,,,,,,,,
ai_search,search-food-05,Bánh Nậm,,,,,,,,,,
ai_search,search-food-06,Banh Beo,,,,,,,,,,
ai_search,search-food-07,Bún Cá,,,,,,,,,,
ai_search,search-food-08,Bánh Chưng,,,,,,,,,,
ai_search,search-food-09,Banh Can,,,,,,,,,,
ai_search,search-food-10,Bánh Da Lợn,,,,,,,,,,
ai_search,search-food-11,Bánh Khọt,,,,,,,,,,
ai_search,search-food-12,Bánh cuốn,,,,,,,,,,
ai_search,search-object-01,Áo Dài and Flamboyant Flower (Hoa Phượng),,,,,,,,,,
ai_search,search-object-02,EvaluationHttpError,,,,,,,,,,
ai_search,search-object-03,Satra Tax Trade Center (Thương Xá Tax),,,,,,,,,,
ai_search,search-object-04,Lễ Hội Thành Phố Hồ Chí Minh,,,,,,,,,,
ai_search,search-object-05,Hoan Kiem Lake Cultural Performance,,,,,,,,,,
ai_search,search-object-06,Group of Traditional Vietnamese Musicians from Cochinchina,,,,,,,,,,
ai_search,search-object-07,Hát Bội (Tuồng) Costumes,,,,,,,,,,
ai_search,search-object-08,Map of Chèo Theaters and Art Units in Northern Vietnam,,,,,,,,,,
ai_chat,chat-01,Tôi sẽ mở chức năng lập kế hoạch chuyến đi cho bạn.,,,,,,,,,,
ai_chat,chat-02,I am allergic to seafood.,,,,,,,,,,
ai_chat,chat-03,Đang mở tính năng khám phá Huế cho bạn.,,,,,,,,,,
ai_chat,chat-04,Tôi sẽ mở mục đề xuất địa điểm du lịch dựa trên sở thích ẩm thực của bạn.,,,,,,,,,,
ai_chat,chat-05,Đang mở diễn đàn để bạn hỏi kinh nghiệm đi Hà Giang.,,,,,,,,,,
ai_chat,chat-06,Đây là danh sách các địa điểm bạn đã lưu.,,,,,,,,,,
ai_chat,chat-07,I could not generate a response. Please try again.,,,,,,,,,,
ai_chat,chat-08,Chào bạn! Tôi sẽ kiểm tra điểm thưởng và ưu đãi của bạn.,,,,,,,,,,
ai_chat,chat-09,Dưới đây là danh sách các ứng dụng du lịch phổ biến.,,,,,,,,,,
ai_chat,chat-10,Đang kiểm tra thông báo mới của bạn...,,,,,,,,,,
ai_chat,chat-11,Đang mở hồ sơ cá nhân...,,,,,,,,,,
ai_chat,chat-12,Bạn vui lòng gửi báo cáo lỗi tại đây.,,,,,,,,,,
ai_chat,chat-13,"Để nâng cấp tài khoản Premium, vui lòng nhấn nút nâng cấp bên dưới.",,,,,,,,,,
ai_chat,chat-14,RemoteDisconnected,,,,,,,,,,
translation,translation-01,Một vé vào bảo tàng giá bao nhiêu?,,,,,,,,,,
translation,translation-02,Tôi bị dị ứng với hải sản.,,,,,,,,,,
translation,translation-03,Vui lòng đưa tôi đến 12 Nguyễn Huệ.,,,,,,,,,,
translation,translation-04,Xe buýt khởi hành lúc 07:30 và có giá 50.000 VND.,,,,,,,,,,
translation,translation-05,Bạn có thể giới thiệu một nhà hàng chay gần đây không?,,,,,,,,,,
translation,translation-06,Hiệu thuốc gần nhất ở đâu?,,,,,,,,,,
translation,translation-07,I want to book a room for 2 people for 3 nights.,,,,,,,,,,
translation,translation-08,Flight VN123 is delayed until 18:45.,,,,,,,,,,
translation,translation-09,Please don't put peanuts in my dish.,,,,,,,,,,
translation,translation-10,How long does it take to get to Hoi An from here?,,,,,,,,,,
translation,translation-11,I lost my passport and need to go to the embassy.,,,,,,,,,,
translation,translation-12,"The room rate is 1,200,000 VND per night, including breakfast.",,,,,,,,,,
translation,translation-13,"Món này có cay không, và có chứa thịt heo không?",,,,,,,,,,
translation,translation-14,Làm ơn gọi cảnh sát. Điện thoại của tôi bị đánh cắp gần chợ Bến Thành.,,,,,,,,,,
tts,tts-01,https://vbee.vn/s/b3750746-66af-47f9-ba36-db94a07af4c3/ad7b8691-c0f1-4536-93ad-7678ee5b455b,,,,,,,,,,
tts,tts-02,https://vbee.vn/s/b3a480ac-5364-4e1b-a64c-688d6d727a31/0b4d813b-1e83-4e88-8b45-2f9566f999a2,,,,,,,,,,
tts,tts-03,https://vbee.vn/s/eea2e34d-851d-4337-ac63-987c1a40cad0/eb24dac3-3458-467a-9d1e-1ea86e86cf37,,,,,,,,,,
tts,tts-04,https://vbee.vn/s/9a544d48-99cd-427a-a9db-9871b7dc946e/646554fe-7dff-4568-905d-d9e0e5025131,,,,,,,,,,
tts,tts-05,https://vbee.vn/s/edfb0395-b851-4e5d-99ba-444a6201a49f/7f80e50d-f462-49b6-8fdb-31ded9cf60aa,,,,,,,,,,
tts,tts-06,https://vbee.vn/s/cb07fc95-60ef-4601-95fc-d0883b91cc43/74bf7667-8145-487c-8cf2-7faf35251b62,,,,,,,,,,
