id,name,cover_image,gallery,short_description,detailed_description,activity_type,opening_hours,price_range,safety_notes,average_rating,review_count,created_at,updated_at
46e5553a-2e21-4757-b3da-9a38282412ab,Hạ Long Bay,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Ha_Long_Bay_in_2019.jpg/1280px-Ha_Long_Bay_in_2019.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Ha_Long_Bay_in_2019.jpg/1280px-Ha_Long_Bay_in_2019.jpg""]","Hạ Long Bay or Halong Bay ( Vietnamese : Vịnh Hạ Long , pronounced ⓘ ) is a bay located in Northeastern Vietnam . The name Hạ Long means ""descending dragon"". The bay is administ...","Hạ Long Bay or Halong Bay ( Vietnamese : Vịnh Hạ Long , pronounced ⓘ ) is a bay located in Northeastern Vietnam . The name Hạ Long means ""descending dragon"". The bay is administered by the cities of Hạ Long and Cẩm Phả in Quảng Ninh province . It features thousands of limestone karsts and islets in various shapes and sizes, for which it is listed as a UNESCO World Heritage Site and a popular travel destination. The bay is also part of a larger area that includes Bai Tu Long Bay to the northeast and Cát Bà Island to the southwest, with these zones sharing similar geological, geographical, geomorphological , climate, and cultural characteristics.",nature,,,Check weather conditions before visiting.,,0,,
205128e2-8fd9-4086-b65c-046db220749e,Phong Nha–Kẻ Bàng National Park,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Phongnhakebang6.jpg/1280px-Phongnhakebang6.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Phongnhakebang6.jpg/1280px-Phongnhakebang6.jpg""]","Phong Nha–Kẻ Bàng ( Vietnamese : Vườn quốc gia Phong Nha–Kẻ Bàng , Vietnamese pronunciation: ) is a national park and UNESCO World Heritage Site in the Bố Trạch and Minh Hóa Com...","Phong Nha–Kẻ Bàng ( Vietnamese : Vườn quốc gia Phong Nha–Kẻ Bàng , Vietnamese pronunciation: ) is a national park and UNESCO World Heritage Site in the Bố Trạch and Minh Hóa Commune of central Quảng Trị Province in the North Central Coast region of Vietnam , about 500 km south of Hanoi . The park borders the Hin Namno National Park in Khammouane Province , Laos to the west and 42 km east of the East sea from its borderline point. Phong Nha–Kẻ Bàng National Park is in a limestone zone of 2,000 km 2 in Vietnamese territory and borders another limestone zone of 2,000 km 2 of Hin Namno in Laotian territory. The core zone of this national park covers 857.54 km 2 and a buffer zone of 1,954 km 2 . [ 1 ]",nature,,,Check weather conditions before visiting.,,0,,
09363087-3bef-40ee-996d-24ca292f8be4,Bà Nà Hills,https://upload.wikimedia.org/wikipedia/commons/9/91/Linh_Ung_Pagoda.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/9/91/Linh_Ung_Pagoda.jpg""]","Bà Nà Hill Station , Bà Nà Hills or Sun World Ba Na Hills is a hill station and resort located in the Trường Sơn Mountains , Hòa Vang district , west of the city of Da Nang , in...","Bà Nà Hill Station , Bà Nà Hills or Sun World Ba Na Hills is a hill station and resort located in the Trường Sơn Mountains , Hòa Vang district , west of the city of Da Nang , in South Central Coast of Vietnam .",nature,,,Check weather conditions before visiting. Wear suitable shoes and follow on-site safety instructions. Keep personal belongings secure in crowded areas.,,0,,
c0ea68ed-2585-4c77-b07a-6d9f6c9f532e,Củ Chi tunnels,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/C%E1%BB%A7_Chi_tunnels_entrance.JPG/1280px-C%E1%BB%A7_Chi_tunnels_entrance.JPG,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/C%E1%BB%A7_Chi_tunnels_entrance.JPG/1280px-C%E1%BB%A7_Chi_tunnels_entrance.JPG""]","The tunnels of Củ Chi ( Vietnamese : Địa đạo Củ Chi ) are an immense network of connecting tunnels located in the Củ Chi District of Ho Chi Minh City (Saigon), Vietnam , and are...","The tunnels of Củ Chi ( Vietnamese : Địa đạo Củ Chi ) are an immense network of connecting tunnels located in the Củ Chi District of Ho Chi Minh City (Saigon), Vietnam , and are part of a much larger network of tunnels that underlie much of the country. The Củ Chi tunnels were the location of several military campaigns during the Vietnam War , and were the Viet Cong 's base of operations for the Tết Offensive in 1968.",historical,,,Wear suitable shoes and follow on-site safety instructions. Keep personal belongings secure in crowded areas.,,0,,
6a77c6dd-a00b-4244-b90b-77d1fdd30ed7,Tràng An Scenic Landscape Complex,https://upload.wikimedia.org/wikipedia/commons/0/08/Muaxuantamcoc.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/0/08/Muaxuantamcoc.jpg""]","Tràng An is a scenic area located in Ninh Bình Province, near Hoa Lư , Vietnam renowned for its boat cave tours. [ 1 ] On 23 June 2014, at the 38th session of the World Heritage...","Tràng An is a scenic area located in Ninh Bình Province, near Hoa Lư , Vietnam renowned for its boat cave tours. [ 1 ] On 23 June 2014, at the 38th session of the World Heritage Committee in Doha , the Trang An Scenic Landscape Complex was inscribed as a UNESCO World Heritage Site . [ 2 ]",nature,,,Check weather conditions before visiting. Wear suitable shoes and follow on-site safety instructions.,,0,,
2752204a-33c0-4809-b227-7b819361eeb4,Hội An,,,Hội An may refer to several places in Vietnam:,Hội An may refer to several places in Vietnam:,sightseeing,,,,,0,,
e71194a5-8114-4c42-97ee-90b63980cb4b,Imperial City of Huế,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Hu%E1%BA%BF_%282024%29_-_Meridian_Gate_-_Ng%E1%BB%8D_M%C3%B4n_%28Ho%C3%A0ng_th%C3%A0nh_Hu%E1%BA%BF%29_-_img_02.jpg/1280px-Hu%E1%BA%BF_%282024%29_-_Meridian_Gate_-_Ng%E1%BB%8D_M%C3%B4n_%28Ho%C3%A0ng_th%C3%A0nh_Hu%E1%BA%BF%29_-_img_02.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Hu%E1%BA%BF_%282024%29_-_Meridian_Gate_-_Ng%E1%BB%8D_M%C3%B4n_%28Ho%C3%A0ng_th%C3%A0nh_Hu%E1%BA%BF%29_-_img_02.jpg/1280px-Hu%E1%BA%BF_%282024%29_-_Meridian_Gate_-_Ng%E1%BB%8D_M%C3%B4n_%28Ho%C3%A0ng_th%C3%A0nh_Hu%E1%BA%BF%29_-_img_02.jpg""]","The Imperial City or Imperial Palace ( Vietnamese : Hoàng thành ; chữ Hán : 皇城) also known as Đại Nội (大內) , is a royal enclosure within the walled city ( Vietnamese : Kinh thàn...","The Imperial City or Imperial Palace ( Vietnamese : Hoàng thành ; chữ Hán : 皇城) also known as Đại Nội (大內) , is a royal enclosure within the walled city ( Vietnamese : Kinh thành ; chữ Hán : 京城) of Huế , the former imperial capital of Vietnam during the Nguyễn dynasty . It contains the palaces that housed the imperial family, as well as shrines, gardens, and offices for mandarins . Constructed in 1804 under Emperor Gia Long as a new capital and later re-modelled and enlarged to its current scale in 1833, it mostly served as a ceremonial function and imperial residence during the French colonial period . After the end of the monarchy in 1945, it suffered heavy damage and neglect during the Indochina Wars through the 1980s. The Imperial City was designated as a UNESCO World Heritage Site in 1993 as part of the Complex of Huế Monuments and is undergoing restoration.",historical,,,Keep personal belongings secure in crowded areas.,,0,,
84bee5c3-9acd-43c9-9015-fa4da30bdd89,"Temple of Literature, Hanoi",https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Hanoi_Temple_of_Literature_%28cropped%29.jpg/1280px-Hanoi_Temple_of_Literature_%28cropped%29.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Hanoi_Temple_of_Literature_%28cropped%29.jpg/1280px-Hanoi_Temple_of_Literature_%28cropped%29.jpg""]","Văn Miếu ( Vietnamese : Văn Miếu , chữ Hán : 文廟 [ 1 ] [ 2 ] ), literally translated as Temple of Literature , is a temple dedicated to Confucius in Hanoi , northern Vietnam . Th...","Văn Miếu ( Vietnamese : Văn Miếu , chữ Hán : 文廟 [ 1 ] [ 2 ] ), literally translated as Temple of Literature , is a temple dedicated to Confucius in Hanoi , northern Vietnam . The temple was founded and first built in 1070 at the time of Emperor Lý Thánh Tông , and it hosted the Imperial Academy ( Quốc Tử Giám , 國 子 監 ), Vietnam's first national university, from 1076 to 1779. In 1803, The academy was moved to the new capital of Nguyen dynasty in Hue.",culture,,,,,0,,
c20d14e9-7c93-4f9a-a978-fc13a105a1ff,Hoàn Kiếm Lake,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Thap_Rua.jpg/1280px-Thap_Rua.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Thap_Rua.jpg/1280px-Thap_Rua.jpg""]","Hoàn Kiếm Lake ( Vietnamese : Hồ Hoàn Kiếm , chữ Hán : 湖還劍, meaning ""Lake of the Returned Sword"" or ""Lake of the Restored Sword"" ), also known as Sword Lake ( Hồ Gươm ) or Tả Vọ...","Hoàn Kiếm Lake ( Vietnamese : Hồ Hoàn Kiếm , chữ Hán : 湖還劍, meaning ""Lake of the Returned Sword"" or ""Lake of the Restored Sword"" ), also known as Sword Lake ( Hồ Gươm ) or Tả Vọng Lake ( Hồ Tả Vọng ), is a fresh water lake, measuring some 12 ha in the historical center of Hanoi , the capital city of Vietnam .",sightseeing,,,Keep personal belongings secure in crowded areas.,,0,,
8610a772-773e-4e37-9a38-c36a41453d2c,Mỹ Sơn,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/2024_-_M%E1%BB%B9_S%C6%A1n_Group_B%2C_C_and_D_-_img_23.jpg/1280px-2024_-_M%E1%BB%B9_S%C6%A1n_Group_B%2C_C_and_D_-_img_23.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/2024_-_M%E1%BB%B9_S%C6%A1n_Group_B%2C_C_and_D_-_img_23.jpg/1280px-2024_-_M%E1%BB%B9_S%C6%A1n_Group_B%2C_C_and_D_-_img_23.jpg""]","Mỹ Sơn ( Vietnamese pronunciation: ) is a cluster of abandoned and partially ruined Shaiva Hindu temples in central Vietnam , constructed between the 4th and the 13th century by...","Mỹ Sơn ( Vietnamese pronunciation: ) is a cluster of abandoned and partially ruined Shaiva Hindu temples in central Vietnam , constructed between the 4th and the 13th century by the Kings of Champa , an Indianized kingdom of the Cham people . [ 1 ] [ 2 ] The temples are dedicated to the veneration of God in accordance with Shaivism , wherein God is named Shiva , or The Auspicious One. In this particular complex, he is venerated under various local names, the most important of which is Bhadreshvara .",culture,,,,,0,,
