name,area,description
Toàn quốc,Toàn quốc,Tổng hợp tất cả các vùng tại Việt Nam
Miền Bắc,Miền Bắc,Khu vực phía Bắc Việt Nam với khí hậu đa dạng
Miền Trung,Miền Trung,Khu vực miền Trung với biển và di sản văn hóa
Miền Nam,Miền Nam,Khu vực phía Nam với khí hậu nhiệt đới và sông nước

Cao Bằng,Trung du và miền núi phía Bắc,Tỉnh miền núi nổi tiếng với thác Bản Giốc
Sơn La,Trung du và miền núi phía Bắc,Vùng núi cao với văn hóa dân tộc đa dạng
Lai Châu,Trung du và miền núi phía Bắc,Tỉnh vùng cao với cảnh quan hoang sơ
Lạng Sơn,Trung du và miền núi phía Bắc,Tỉnh biên giới với nhiều cửa khẩu quan trọng
Tuyên Quang,Trung du và miền núi phía Bắc,Vùng lịch sử cách mạng và thiên nhiên xanh
Lào Cai,Trung du và miền núi phía Bắc,Nổi tiếng với Sa Pa và ruộng bậc thang
Thái Nguyên,Trung du và miền núi phía Bắc,Trung tâm chè lớn của Việt Nam
Điện Biên,Trung du và miền núi phía Bắc,Gắn liền với chiến thắng Điện Biên Phủ
Phú Thọ,Trung du và miền núi phía Bắc,Đất tổ Hùng Vương

Bắc Ninh,Đồng bằng sông Hồng,Vùng văn hóa quan họ đặc trưng
Hà Nội,Đồng bằng sông Hồng,Thủ đô Việt Nam với lịch sử lâu đời
Quảng Ninh,Đồng bằng sông Hồng,Nổi tiếng với vịnh Hạ Long
Hải Phòng,Đồng bằng sông Hồng,Thành phố cảng lớn của miền Bắc
Hưng Yên,Đồng bằng sông Hồng,Vùng đất truyền thống và làng nghề
Ninh Bình,Đồng bằng sông Hồng,Nổi tiếng với Tràng An và Tam Cốc

Thanh Hóa,Bắc Trung Bộ,Tỉnh lớn với nhiều di sản và bãi biển đẹp
Nghệ An,Bắc Trung Bộ,Quê hương Chủ tịch Hồ Chí Minh
Hà Tĩnh,Bắc Trung Bộ,Vùng đất giàu truyền thống văn hóa
Quảng Trị,Bắc Trung Bộ,Địa danh lịch sử thời chiến tranh
Huế,Bắc Trung Bộ,Cố đô với di sản văn hóa thế giới

Đà Nẵng,Duyên hải Nam Trung Bộ và Tây Nguyên,Thành phố biển hiện đại và du lịch phát triển
Quảng Ngãi,Duyên hải Nam Trung Bộ và Tây Nguyên,Vùng ven biển với đặc sản địa phương
Gia Lai,Duyên hải Nam Trung Bộ và Tây Nguyên,Vùng cao nguyên với văn hóa cồng chiêng
Đắk Lắk,Duyên hải Nam Trung Bộ và Tây Nguyên,Thủ phủ cà phê của Việt Nam
Khánh Hòa,Duyên hải Nam Trung Bộ và Tây Nguyên,Nổi tiếng với Nha Trang
Lâm Đồng,Duyên hải Nam Trung Bộ và Tây Nguyên,Vùng cao nguyên với Đà Lạt
Đồng Nai,Đông Nam Bộ,Khu công nghiệp phát triển mạnh
Hồ Chí Minh,Đông Nam Bộ,Trung tâm kinh tế lớn nhất Việt Nam
Tây Ninh,Đông Nam Bộ,Tỉnh biên giới với núi Bà Đen

Đồng Tháp,Đồng bằng sông Cửu Long,Vùng sông nước với sen đặc trưng
Vĩnh Long,Đồng bằng sông Cửu Long,Nổi tiếng với vườn trái cây
Cần Thơ,Đồng bằng sông Cửu Long,Trung tâm miền Tây với chợ nổi
An Giang,Đồng bằng sông Cửu Long,Vùng núi và văn hóa đa dạng
Cà Mau,Đồng bằng sông Cửu Long,Điểm cực Nam của Việt Nam
