name,food_type_id,id_city,image_path,description,cover_image,gallery,short_description,detailed_description,ingredients,taste_profile,dietary_warnings,average_rating,review_count,source_location,source_classification,source_section
Bánh canh,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,51eb38d6-9728-4d90-b7fe-c2f8236144a2,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Banh-Canh-Noodle-Soup.jpg/120px-Banh-Canh-Noodle-Soup.jpg,"Được làm từ bột gạo, bột mì, hoặc bột sắn hoặc bột gạo pha bột sắn cán thành tấm và cắt ra thành sợi to và ngắn với nước dùng được nấu từ tôm, cá, giò heo... thêm gia vị tùy theo từng loại [ 1 ] [ 2 ]",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Banh-Canh-Noodle-Soup.jpg/120px-Banh-Canh-Noodle-Soup.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Banh-Canh-Noodle-Soup.jpg/120px-Banh-Canh-Noodle-Soup.jpg""]","Được làm từ bột gạo, bột mì, hoặc bột sắn hoặc bột gạo pha bột sắn cán thành tấm và cắt ra thành sợi to và ngắn với nước","Được làm từ bột gạo, bột mì, hoặc bột sắn hoặc bột gạo pha bột sắn cán thành tấm và cắt ra thành sợi to và ngắn với nước dùng được nấu từ tôm, cá, giò heo... thêm gia vị tùy theo từng loại [ 1 ] [ 2 ]",,,,,0,Miền Nam,Mì,Dạng sợi ( bún / mì các loại)
Bánh đa cua,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,788aeac0-5766-4314-b4ac-876c194a29b8,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/BANH_DA_CUA_1.jpg/120px-BANH_DA_CUA_1.jpg,Bánh đa với nước dùng riêu cua,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/BANH_DA_CUA_1.jpg/120px-BANH_DA_CUA_1.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/BANH_DA_CUA_1.jpg/120px-BANH_DA_CUA_1.jpg""]",Bánh đa với nước dùng riêu cua,Bánh đa với nước dùng riêu cua,,,,,0,Hải Phòng,Bánh đa nước,Dạng sợi ( bún / mì các loại)
Bánh tằm cà ri,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,4b4af742-4fef-4313-a9b2-50ec8824aa8a,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/B%C3%A1nh_t%E1%BA%B1m_c%C3%A0_ri.jpg/120px-B%C3%A1nh_t%E1%BA%B1m_c%C3%A0_ri.jpg,Bún gạo đặc biệt dùng với cà ri gà cay,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/B%C3%A1nh_t%E1%BA%B1m_c%C3%A0_ri.jpg/120px-B%C3%A1nh_t%E1%BA%B1m_c%C3%A0_ri.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/B%C3%A1nh_t%E1%BA%B1m_c%C3%A0_ri.jpg/120px-B%C3%A1nh_t%E1%BA%B1m_c%C3%A0_ri.jpg""]",Bún gạo đặc biệt dùng với cà ri gà cay,Bún gạo đặc biệt dùng với cà ri gà cay,,,,,0,Cà Mau,,Dạng sợi ( bún / mì các loại)
Bún bò Huế,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,6fc8742d-40d6-43f9-9fd1-f497b4f62ddc,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Bun-Bo-Hue-from-Huong-Giang-2011.jpg/120px-Bun-Bo-Hue-from-Huong-Giang-2011.jpg,"Bún đặc sản của xứ Huế, trong nước dùng có một ít mắm ruốc, góp phần làm nên hương vị rất riêng [ 3 ]",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Bun-Bo-Hue-from-Huong-Giang-2011.jpg/120px-Bun-Bo-Hue-from-Huong-Giang-2011.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Bun-Bo-Hue-from-Huong-Giang-2011.jpg/120px-Bun-Bo-Hue-from-Huong-Giang-2011.jpg""]","Bún đặc sản của xứ Huế, trong nước dùng có một ít mắm ruốc, góp phần làm nên hương vị rất riêng [ 3 ]","Bún đặc sản của xứ Huế, trong nước dùng có một ít mắm ruốc, góp phần làm nên hương vị rất riêng [ 3 ]",,,,,0,Huế,Bún nước,Dạng sợi ( bún / mì các loại)
Bún bung,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,97a6dbe2-3e11-4e93-b238-5648a1fc93aa,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/B%C3%BAn_m%E1%BB%8Dc_s%C6%B0%E1%BB%9Dn.jpg/120px-B%C3%BAn_m%E1%BB%8Dc_s%C6%B0%E1%BB%9Dn.jpg,Bún nấu với sườn lợn và dọc mùng,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/B%C3%BAn_m%E1%BB%8Dc_s%C6%B0%E1%BB%9Dn.jpg/120px-B%C3%BAn_m%E1%BB%8Dc_s%C6%B0%E1%BB%9Dn.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/B%C3%BAn_m%E1%BB%8Dc_s%C6%B0%E1%BB%9Dn.jpg/120px-B%C3%BAn_m%E1%BB%8Dc_s%C6%B0%E1%BB%9Dn.jpg""]",Bún nấu với sườn lợn và dọc mùng,Bún nấu với sườn lợn và dọc mùng,,,,,0,Hà Nội,Bún nước,Dạng sợi ( bún / mì các loại)
Bún cá,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,97a6dbe2-3e11-4e93-b238-5648a1fc93aa,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/B%C3%BAn_C%C3%A1_H%C3%A0_N%E1%BB%99i.jpg/120px-B%C3%BAn_C%C3%A1_H%C3%A0_N%E1%BB%99i.jpg,"Bún và chả cá nướng trộn nước mắm, rau sống",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/B%C3%BAn_C%C3%A1_H%C3%A0_N%E1%BB%99i.jpg/120px-B%C3%BAn_C%C3%A1_H%C3%A0_N%E1%BB%99i.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/B%C3%BAn_C%C3%A1_H%C3%A0_N%E1%BB%99i.jpg/120px-B%C3%BAn_C%C3%A1_H%C3%A0_N%E1%BB%99i.jpg""]","Bún và chả cá nướng trộn nước mắm, rau sống","Bún và chả cá nướng trộn nước mắm, rau sống",,,,,0,Hà Nội,Bún khô,Dạng sợi ( bún / mì các loại)
Bún chả,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,97a6dbe2-3e11-4e93-b238-5648a1fc93aa,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/B%C3%BAn_ch%E1%BA%A3_H%C3%A0ng_M%C3%A0nh.jpg/120px-B%C3%BAn_ch%E1%BA%A3_H%C3%A0ng_M%C3%A0nh.jpg,Bún ăn kèm chả viên và chả miếng với nước chấm,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/B%C3%BAn_ch%E1%BA%A3_H%C3%A0ng_M%C3%A0nh.jpg/120px-B%C3%BAn_ch%E1%BA%A3_H%C3%A0ng_M%C3%A0nh.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/B%C3%BAn_ch%E1%BA%A3_H%C3%A0ng_M%C3%A0nh.jpg/120px-B%C3%BAn_ch%E1%BA%A3_H%C3%A0ng_M%C3%A0nh.jpg""]",Bún ăn kèm chả viên và chả miếng với nước chấm,Bún ăn kèm chả viên và chả miếng với nước chấm,,,,,0,Hà Nội,Bún,Dạng sợi ( bún / mì các loại)
Bún măng vịt,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/B%C3%BAn_m%C4%83ng_th%E1%BB%8Bt_v%E1%BB%8Bt.jpg/120px-B%C3%BAn_m%C4%83ng_th%E1%BB%8Bt_v%E1%BB%8Bt.jpg,Bún măng dùng với nước hầm xương vịt [ 4 ],https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/B%C3%BAn_m%C4%83ng_th%E1%BB%8Bt_v%E1%BB%8Bt.jpg/120px-B%C3%BAn_m%C4%83ng_th%E1%BB%8Bt_v%E1%BB%8Bt.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/B%C3%BAn_m%C4%83ng_th%E1%BB%8Bt_v%E1%BB%8Bt.jpg/120px-B%C3%BAn_m%C4%83ng_th%E1%BB%8Bt_v%E1%BB%8Bt.jpg""]",Bún măng dùng với nước hầm xương vịt [ 4 ],Bún măng dùng với nước hầm xương vịt [ 4 ],,,,,0,,Bún nước,Dạng sợi ( bún / mì các loại)
Bún chả cá,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,66b404d0-b35f-4bed-aaf8-2243aa601501,https://upload.wikimedia.org/wikipedia/vi/thumb/d/d2/Res_3_1167038266_thumb.jpg/120px-Res_3_1167038266_thumb.jpg,Bún với chả cá chan nước dùng nóng [ 4 ],https://upload.wikimedia.org/wikipedia/vi/thumb/d/d2/Res_3_1167038266_thumb.jpg/120px-Res_3_1167038266_thumb.jpg,"[""https://upload.wikimedia.org/wikipedia/vi/thumb/d/d2/Res_3_1167038266_thumb.jpg/120px-Res_3_1167038266_thumb.jpg""]",Bún với chả cá chan nước dùng nóng [ 4 ],Bún với chả cá chan nước dùng nóng [ 4 ],,,,,0,Đà Nẵng,Bún nước,Dạng sợi ( bún / mì các loại)
Bún chạo tôm,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,6fc8742d-40d6-43f9-9fd1-f497b4f62ddc,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Bun-Chao-Tom-2008.jpg/120px-Bun-Chao-Tom-2008.jpg,"Tôm xiên vào que mía nướng ăn kèm bún, rau sống",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Bun-Chao-Tom-2008.jpg/120px-Bun-Chao-Tom-2008.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Bun-Chao-Tom-2008.jpg/120px-Bun-Chao-Tom-2008.jpg""]","Tôm xiên vào que mía nướng ăn kèm bún, rau sống","Tôm xiên vào que mía nướng ăn kèm bún, rau sống",,,,,0,Huế,Bún khô,Dạng sợi ( bún / mì các loại)
