feature,case_id,model_output,human_name_judgment,human_summary_usefulness,human_factuality,human_relevance,human_groundedness,human_adequacy,human_fluency,human_mos,human_intelligibility,notes
ai_search,search-food-01,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 4.712490085s.",,,,,,,,,,
ai_search,search-food-02,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 4.170380249s.",,,,,,,,,,
ai_search,search-food-03,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 3.505141901s.",,,,,,,,,,
ai_search,search-food-04,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 2.95740896s.",,,,,,,,,,
ai_search,search-food-05,EvaluationHttpError,,,,,,,,,,
ai_search,search-food-06,EvaluationHttpError,,,,,,,,,,
ai_search,search-food-07,EvaluationHttpError,,,,,,,,,,
ai_search,search-food-08,EvaluationHttpError,,,,,,,,,,
ai_search,search-food-09,EvaluationHttpError,,,,,,,,,,
ai_search,search-food-10,EvaluationHttpError,,,,,,,,,,
ai_search,search-food-11,EvaluationHttpError,,,,,,,,,,
ai_search,search-food-12,EvaluationHttpError,,,,,,,,,,
ai_search,search-object-01,EvaluationHttpError,,,,,,,,,,
ai_search,search-object-02,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 59.375981595s.",,,,,,,,,,
ai_search,search-object-03,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 56.233960201s.",,,,,,,,,,
ai_search,search-object-04,EvaluationHttpError,,,,,,,,,,
ai_search,search-object-05,EvaluationHttpError,,,,,,,,,,
ai_search,search-object-06,EvaluationHttpError,,,,,,,,,,
ai_search,search-object-07,EvaluationHttpError,,,,,,,,,,
ai_search,search-object-08,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 53.101197859s.",,,,,,,,,,
ai_chat,chat-01,Tôi sẽ giúp bạn lập lịch trình 3 ngày ở Đà Nẵng.,,,,,,,,,,
ai_chat,chat-02,I am allergic to seafood.,,,,,,,,,,
ai_chat,chat-03,Tôi sẽ giúp bạn khám phá các địa điểm nổi bật ở Huế!,,,,,,,,,,
ai_chat,chat-04,Tôi sẽ mở mục đề xuất địa điểm du lịch dựa trên sở thích ẩm thực của bạn.,,,,,,,,,,
ai_chat,chat-05,Mở diễn đàn Hà Giang để hỏi kinh nghiệm từ cộng đồng.,,,,,,,,,,
ai_chat,chat-06,Dưới đây là các địa điểm bạn đã lưu.,,,,,,,,,,
ai_chat,chat-07,Chuyển đến tính năng nhận diện ảnh.,,,,,,,,,,
ai_chat,chat-08,Xem điểm thưởng và ưu đãi của bạn.,,,,,,,,,,
ai_chat,chat-09,Dưới đây là danh sách các ứng dụng du lịch phổ biến.,,,,,,,,,,
ai_chat,chat-10,Đang kiểm tra thông báo mới...,,,,,,,,,,
ai_chat,chat-11,Đang mở hồ sơ cá nhân...,,,,,,,,,,
ai_chat,chat-12,Tôi sẽ đưa bạn đến trang gửi báo cáo.,,,,,,,,,,
ai_chat,chat-13,Bạn có muốn nâng cấp tài khoản Premium ngay không?,,,,,,,,,,
ai_chat,chat-14,"Khi tham quan chùa ở Việt Nam, bạn nên ăn mặc lịch sự, kín đáo: mặc quần dài, áo có tay, không mặc váy ngắn, áo hở vai hoặc quần short. Trước khi vào chùa, nên cởi giày dép và giữ trật tự, tôn nghiêm.",,,,,,,,,,
translation,translation-01,Vé vào bảo tàng giá bao nhiêu?,,,,,,,,,,
translation,translation-02,Tôi bị dị ứng với hải sản.,,,,,,,,,,
translation,translation-03,Vui lòng đưa tôi đến số 12 đường Nguyễn Huệ.,,,,,,,,,,
translation,translation-04,Xe buýt khởi hành lúc 07:30 và có giá 50.000 VND.,,,,,,,,,,
translation,translation-05,Bạn có thể giới thiệu một nhà hàng chay gần đây không?,,,,,,,,,,
translation,translation-06,Hiệu thuốc gần nhất ở đâu?,,,,,,,,,,
translation,translation-07,I want to book a room for 2 people for 3 nights.,,,,,,,,,,
translation,translation-08,Flight VN123 is delayed until 18:45.,,,,,,,,,,
translation,translation-09,Please don't put peanuts in my dish.,,,,,,,,,,
translation,translation-10,How long does it take to get to Hoi An from here?,,,,,,,,,,
translation,translation-11,I lost my passport and need to go to the embassy.,,,,,,,,,,
translation,translation-12,"The room rate is 1,200,000 VND per night, including breakfast.",,,,,,,,,,
translation,translation-13,"Món này có cay không, và có chứa thịt heo không?",,,,,,,,,,
translation,translation-14,Làm ơn gọi cảnh sát. Điện thoại của tôi bị đánh cắp gần chợ Bến Thành.,,,,,,,,,,
tts,tts-01,https://vbee.vn/s/6f6ceb32-bb19-4974-a9ad-2853e327e81e/6405e0d3-9bbe-4309-917d-d232b2197b33,,,,,,,,,,
tts,tts-02,https://vbee.vn/s/9f388fb4-6062-41e8-8054-c07010407a18/2fb25546-71b3-48e3-b63c-84ca31a95581,,,,,,,,,,
tts,tts-03,https://vbee.vn/s/89e8bd70-3e4f-4b75-af75-fa7958a7f936/9dcb9c69-a9cb-4e07-a5ee-cbaf0ea50b31,,,,,,,,,,
tts,tts-04,https://vbee.vn/s/f71f4cee-3568-4bec-86aa-c264fc9a31ca/c2533933-670e-48fe-9a41-e360dbe402d1,,,,,,,,,,
tts,tts-05,https://vbee.vn/s/94c819a7-5d82-4ab4-8edc-b2b44b871834/bc1c53d0-8191-4caa-9ca7-e484b1186b90,,,,,,,,,,
tts,tts-06,https://vbee.vn/s/be661c50-7e4a-4b0a-a59f-6fe5f49975df/f74382c4-cf7a-4c98-bfd6-dff48ea18614,,,,,,,,,,
